id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28772,-123.1211,Entire home/apt,151,60,16,2017-02-26,0.16,43,311
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577,-123.10516,Entire home/apt,120,2,225,2019-10-22,1.90,1,183
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,,Downtown Eastside,49.27955,-123.10546,Entire home/apt,152,30,57,2019-06-30,0.48,3,316
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,145,30,84,2019-09-14,0.82,1,296
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,2,31,2018-07-08,0.28,1,0
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27734,-123.04152,Entire home/apt,195,3,5,2019-08-19,0.32,1,73
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26382,-123.07194,Entire home/apt,1200,31,3,2018-02-16,0.13,5,90
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,135,4,5,2018-03-31,0.05,1,14
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26181,-123.10905,Entire home/apt,120,1,193,2019-10-02,2.23,1,0
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26564,-123.09524,Private room,55,30,117,2018-10-31,1.11,1,0
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27427,-123.07063,Private room,85,1,381,2019-10-05,3.71,1,7
18773,Comfort Suite on Kits Beach + Netflix and Youtube,72055,Dean,,Kitsilano,49.27212,-123.16401,Entire home/apt,169,3,14,2019-09-22,0.12,1,10
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251,-123.12827,Private room,95,30,119,2019-11-05,1.15,3,340
19527,Art Deco Apartment in Fairview/South Granville,74129,Bevin,,Fairview,49.26117,-123.13535,Entire home/apt,168,28,35,2019-11-02,0.30,1,86
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Mount Pleasant,49.25732,-123.08545,Entire home/apt,110,30,72,2019-07-27,0.61,1,228
20566,Downtown Vancouver Perfect Suite,77672,Shona,,West End,49.28219,-123.12503,Entire home/apt,231,3,53,2019-08-30,0.45,1,7
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,,Renfrew-Collingwood,49.23365,-123.05439,Private room,50,2,319,2019-10-18,3.14,3,315
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23427,-123.05309,Entire home/apt,65,30,209,2019-10-21,2.15,3,255
22128,"Big+Sunny 1-BR-SUITE**15 min to UBC, 10 Kits Beach",84820,Chris,,Marpole,49.21208,-123.13201,Private room,151,30,24,2011-08-18,0.21,2,0
24273,"Walker's paradise in Kitsilano
License # (Phone number hidden by Airbnb)",1267409,Cormac,,Kitsilano,49.2626,-123.17308,Entire home/apt,300,2,11,2019-08-27,0.14,2,242
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,,Downtown,49.27933,-123.12377,Entire home/apt,158,30,32,2019-10-10,0.31,2,364
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown Eastside,49.28034,-123.10415,Private room,107,30,80,2019-01-06,0.71,3,343
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24686,-123.10469,Entire home/apt,100,3,44,2019-10-18,0.43,1,254
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,,Grandview-Woodland,49.27351,-123.06945,Entire home/apt,99,2,399,2019-10-24,3.55,1,335
42645,The Charlie by COMFYSUITES,109845,Alicia,,Downtown,49.28001,-123.12475,Entire home/apt,158,30,28,2018-09-06,0.25,2,229
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.2674,-123.14634,Entire home/apt,1950,31,9,2016-08-22,0.08,1,363
54261,Yaletown 1 Bedroom Condo,254337,Edgar,,Downtown,49.27655,-123.12485,Entire home/apt,125,90,37,2019-07-09,0.36,2,274
68894,Top-of-the-Line House: 5 min walk to Commerical Dr,343195,Trish,,Grandview-Woodland,49.26705,-123.06081,Entire home/apt,112,3,104,2019-10-29,1.03,2,277
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,,Downtown Eastside,49.27947,-123.08752,Entire home/apt,300,3,19,2019-09-02,0.36,1,10
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,,Grandview-Woodland,49.27357,-123.07024,Entire home/apt,210,7,12,2018-05-23,0.14,1,312
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27659,-123.12481,Entire home/apt,129,30,13,2019-08-28,0.13,1,68
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.24675,-123.16711,Private room,151,1,609,2019-10-12,5.79,2,352
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Mj,,Sunset,49.22293,-123.07785,Entire home/apt,55,30,467,2019-07-03,4.53,2,0
98830,Your Downtown Executive Suite,520997,Cristina,,Downtown,49.27982,-123.12509,Entire home/apt,110,30,264,2019-10-03,2.55,1,7
102268,Cozy and large studio,514310,Bibi,,Riley Park,49.25042,-123.10279,Entire home/apt,65,30,100,2019-08-31,0.98,1,0
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.26726,-123.05969,Entire home/apt,139,3,103,2019-10-27,1.00,1,364
118513,"White Orchid - Super comfy bed, Steps-2 Skytrain",597619,Rozsa,,Renfrew-Collingwood,49.24571,-123.04788,Private room,61,30,35,2019-10-15,0.35,2,32
125081,One step away from the Drive!,69746,Serge & Brigitte,,Grandview-Woodland,49.26772,-123.06551,Private room,59,2,184,2019-09-29,1.56,2,0
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24648,-123.09241,Entire home/apt,110,2,465,2019-11-03,4.61,1,200
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24507,-123.04941,Private room,44,30,50,2019-02-16,0.55,2,313
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,,Grandview-Woodland,49.26785,-123.06612,Private room,81,1,197,2019-10-02,1.93,2,0
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24493,-123.04916,Private room,40,30,41,2019-01-15,0.41,5,260
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Steve,,Mount Pleasant,49.26292,-123.10581,Entire home/apt,99,6,107,2019-11-01,1.05,1,237
160157,City Centre and Walk to Beach,767559,Valentina,,West End,49.28232,-123.12954,Entire home/apt,108,2,442,2019-10-21,4.36,1,0
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.2571,-123.19101,Entire home/apt,176,1,144,2019-10-27,1.44,1,245
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,West End,49.28161,-123.12696,Entire home/apt,300,3,6,2019-08-15,0.38,1,32
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27782,-123.08985,Entire home/apt,100,30,116,2018-04-04,1.17,1,168
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25962,-123.16848,Entire home/apt,92,30,51,2018-12-25,0.51,3,193
